ip,date,Sent,sicmp,sudp,stcp,sftp,shttp,ssmtp,Received,ricmp,rudp,rtcp,rftp,rhttp,rsmtp
250,1525039429,45647,31696,988,12963,0,12963,0,67720,31696,988,35036,0,35036,0
0.0.0.0,1525039429,474115,63992,54057,356066,0,347772,0,842872,64188,52761,725923,0,718607,0
1,1525039429,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
50,1525039429,132366,0,229,132137,0,128267,0,174183,0,0,174183,0,167483,0
166,1525039429,56657,0,229,56428,0,55816,0,79756,400,0,79356,0,78740,0
77,1525039429,10071,0,6574,3497,0,153,0,165,0,0,165,0,165,0
65,1525039429,33426,0,29502,3924,0,3924,0,26966,0,0,26966,0,26966,0
255,1525039429,0,0,0,0,0,0,0,40295,0,40295,0,0,0,0
55,1525039429,12423,0,229,12194,0,12194,0,27394,0,0,27394,0,27394,0
200,1525039429,7713,0,5441,2272,0,2272,0,14157,0,9610,4547,0,4547,0
251,1525039429,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
190,1525039429,40013,0,229,39784,0,39784,0,128691,0,0,128691,0,128691,0
62,1525039429,6824,0,697,6127,0,6127,0,23898,0,0,23898,0,23898,0
59,1525039429,1840,0,229,1611,0,1611,0,5423,0,0,5423,0,5423,0
63,1525039429,463,0,463,0,0,0,0,0,0,0,0,0,0,0
70,1525039429,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525039429,5782,0,229,5553,0,5553,0,9883,0,0,9883,0,9883,0
54,1525039429,2613,0,229,2384,0,2384,0,4341,0,0,4341,0,4341,0
79,1525039429,4500,0,250,4250,0,4250,0,27147,0,0,27147,0,27147,0
53,1525039429,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525039429,229,0,229,0,0,0,0,0,0,0,0,0,0,0
69,1525039429,4106,0,234,3872,0,3872,0,26916,0,0,26916,0,26916,0
65,1525040030,29172,0,29172,0,0,0,0,0,0,0,0,0,0,0
0.0.0.0,1525040030,392847,63616,68663,260568,0,252418,0,508272,63904,64213,380155,0,373023,0
255,1525040030,0,0,0,0,0,0,0,39948,0,39948,0,0,0,0
250,1525040030,40115,31752,1292,7071,0,7071,0,47598,31752,1140,14706,0,14706,0
1,1525040030,31752,31752,0,0,0,0,0,31752,31752,0,0,0,0,0
166,1525040030,62340,0,11495,50845,0,50533,0,83701,0,8335,75366,0,74934,0
55,1525040030,9039,0,229,8810,0,8810,0,18649,0,0,18649,0,18649,0
77,1525040030,10147,0,6803,3344,0,0,0,0,0,0,0,0,0,0
200,1525040030,7471,0,6369,1102,0,1102,0,12843,0,8683,4160,0,4160,0
50,1525040030,126623,0,0,126623,0,122753,0,126288,0,0,126288,0,119588,0
63,1525040030,3240,0,1025,2215,0,2215,0,4590,0,0,4590,0,4590,0
251,1525040030,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
190,1525040030,6769,0,229,6540,0,6540,0,13384,0,0,13384,0,13384,0
51,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
59,1525040030,6468,0,229,6239,0,6239,0,9457,0,0,9457,0,9457,0
62,1525040030,2161,0,229,1932,0,1932,0,18833,0,0,18833,0,18833,0
70,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
54,1525040030,2501,0,229,2272,0,2272,0,4547,0,0,4547,0,4547,0
79,1525040030,250,0,250,0,0,0,0,0,0,0,0,0,0,0
53,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525040030,5638,0,229,5409,0,5409,0,8760,0,0,8760,0,8760,0
65,1525040030,29172,0,29172,0,0,0,0,0,0,0,0,0,0,0
0.0.0.0,1525040030,392847,63616,68663,260568,0,252418,0,508272,63904,64213,380155,0,373023,0
255,1525040030,0,0,0,0,0,0,0,39948,0,39948,0,0,0,0
250,1525040030,40115,31752,1292,7071,0,7071,0,47598,31752,1140,14706,0,14706,0
1,1525040030,31752,31752,0,0,0,0,0,31752,31752,0,0,0,0,0
166,1525040030,62340,0,11495,50845,0,50533,0,83701,0,8335,75366,0,74934,0
55,1525040030,9039,0,229,8810,0,8810,0,18649,0,0,18649,0,18649,0
77,1525040030,10147,0,6803,3344,0,0,0,0,0,0,0,0,0,0
200,1525040030,7471,0,6369,1102,0,1102,0,12843,0,8683,4160,0,4160,0
50,1525040030,126623,0,0,126623,0,122753,0,126288,0,0,126288,0,119588,0
63,1525040030,3240,0,1025,2215,0,2215,0,4590,0,0,4590,0,4590,0
251,1525040030,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
190,1525040030,6769,0,229,6540,0,6540,0,13384,0,0,13384,0,13384,0
51,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
59,1525040030,6468,0,229,6239,0,6239,0,9457,0,0,9457,0,9457,0
62,1525040030,2161,0,229,1932,0,1932,0,18833,0,0,18833,0,18833,0
70,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
54,1525040030,2501,0,229,2272,0,2272,0,4547,0,0,4547,0,4547,0
79,1525040030,250,0,250,0,0,0,0,0,0,0,0,0,0,0
53,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525040030,229,0,229,0,0,0,0,0,0,0,0,0,0,0
